,name,category
313,Black-naped Tern,seabirds
314,Blue-billed Duck,ducks
316,Brown Honeyeater,honeyeaters
318,Brush Bronzewing,quails_pigeons
321,Buff-banded Rail,wader
327,Buff-sided Robin,robins
329,Crested Bellbird,little_colourful_birds
330,Eastern Whipbird,songbird
332,Golden Bowerbird,ground_birds
333,Gray Butcherbird,black_white
335,Inland Thornbill,lbb
337,Little Grassbird,mbb
338,Lovely Fairywren,fairywren
340,Northern Fantail,wagfantail
341,Partridge Pigeon,quails_pigeons
342,Peregrine Falcon,raptors
343,Pied Butcherbird,black_white
345,Rainbow Lorikeet,parrots
351,Red-capped Robin,robins
358,Red-necked Stint,wader
360,Regent Bowerbird,ground_birds
362,Rufous Fieldwren,lbb
363,Southern Boobook,owl
367,Southern Emuwren,walking_birds
369,Speckled Warbler,mbb
371,Spotted Nightjar,owl
374,Superb Fairywren,fairywren
387,Turquoise Parrot,parrots
389,Yellow Thornbill,lbb
391,Australian Magpie,black_white
395,Brown Cuckoo-Dove,quails_pigeons
401,Common Bronzewing,quails_pigeons
405,Dusky Woodswallow,swallows
407,Eastern Spinebill,honeyeaters
412,Fan-tailed Cuckoo,cuckoos
414,Forest Kingfisher,kingfisher
415,Gray-headed Robin,robins
416,Green Pygmy-Goose,walking_birds
417,Leaden Flycatcher,wagfantail
424,Mangrove Gerygone,lbb
426,Marbled Frogmouth,owl
427,Pale-yellow Robin,robins
431,Plum-headed Finch,finches
433,Rainbow Bee-eater,honeyeaters
439,Red-capped Plover,wader
441,Red-necked Avocet,wader
443,Red-rumped Parrot,parrots
449,Red-winged Parrot,parrots
450,Sacred Kingfisher,kingfisher
451,Spotted Pardalote,little_colourful_birds
479,Straw-necked Ibis,black_white
481,Western Bowerbird,ground_birds
482,Western Grasswren,lbb
483,White-faced Heron,herons
484,Australasian Grebe,water_birds
490,Australasian Pipit,mbb
491,Australian Bustard,ground_birds
492,Australian Pelican,water_birds
493,Beach Stone-curlew,wader
496,Beautiful Firetail,finches
501,Black-eared Cuckoo,cuckoos
503,Black-necked Stork,egrets
511,Blue-winged Parrot,parrots
512,Buller's Albatross,seabirds
515,European Goldfinch,finches
516,Fuscous Honeyeater,honeyeaters
518,Gang-gang Cockatoo,cockatoos
522,Great Crested Tern,seabirds
523,Helmeted Friarbird,misc
