name,audio_id,cc
Glaucous Gull,444101401,Reid Hildebrandt
Barn Swallow,66813,William W. H. Gunn
Indigo Bunting,358024421,Marie Giroux
Red-eyed Vireo,356986571,Magdalena Z
Hammond's Flycatcher,347027901,Pat Lucas
Indigo Bunting,345175461,Lisa Cancade Hackett
White-crowned Sparrow,336555891,Magdalena Z
Tree Swallow,333583291,Magdalena Z
Grasshopper Sparrow,247503821,Annie McLeod
Killdeer,167623701,John Patterson
Tree Swallow,163828791,John Patterson
Yellow Warbler,100952371,Jocelyn Lauzon
Snow Bunting,93401111,John Patterson
Common Loon,49085751,Michael Morris
Lincoln's Sparrow,16693,Arthur A. Allen
Whimbrel,3193,Arthur A. Allen
European Starling,322288521,Magdalena Z
Great Horned Owl,144535091,John Patterson
Brewer's Sparrow,28085721,Andrew Spencer
Eastern Bluebird,44105,William W. H. Gunn
Broad-winged Hawk,94164321,Kellie Superina
Northern Pintail,527145631,Carl Hughes
Northern Saw-whet Owl,317583611,George Forsyth
Lesser Scaup,3526,Robert C. Stein
American Wigeon,326123231,Andrew Boycott
American Robin,30624561,Jeff Dyck
Red-necked Grebe,61241,William W. H. Gunn
Lesser Yellowlegs,252418071,Darren Dewitt
American Goldfinch,230666401,Arch  McCallum
Swainson's Hawk,105165181,John Patterson
Herring Gull,104913591,Robert Keereweer
Black-headed Grosbeak,104495051,Daniel Donnecke
Hooded Merganser,582897021,Liam Ragan
Chipping Sparrow,104405941,Alix d'Entremont
Cackling Goose,292526641,David M. Bell
Hairy Woodpecker,210350181,Sara  Sparks
Barred Owl,56706171,Chris Finlay
House Sparrow,444873481,Justin Flint
Black-billed Cuckoo,167268741,Daniel Jauvin
Glaucous-winged Gull,110152961,Daniel Donnecke
Hairy Woodpecker,294143231,Peter Blancher
Northern Cardinal,203928811,Josep del Hoyo
Sharp-shinned Hawk,108742891,Blair Dudeck
Great Black-backed Gull,3353,Arthur A. Allen
Peregrine Falcon,228724111,Hélène Poisson
Mute Swan,478955501,Jody  Wells
Stilt Sandpiper,3179,Arthur A. Allen
Ferruginous Hawk,470372191,Jody  Wells
Pacific Loon,32239821,Andrew Spencer
White-winged Crossbill,614391698,Sam Zhang
Harris's Sparrow,609524944,Rylan Urban
Purple Finch,608961879,Carl Hughes
White-crowned Sparrow,598173471,Ethan Denton
Pacific Wren,469052511,Dan J. MacNeal
Grasshopper Sparrow,464205201,Cam Nikkel
Black-and-white Warbler,450995741,Dan J. MacNeal
Yellow-headed Blackbird,443054131,Cameron Hunter
Yellow-bellied Sapsucker,441410021,Bernard Tremblay
Northern Cardinal,438692911,Sawyer Dawson
Song Sparrow,432331761,Jesse Morris
Canada Goose,429055231,Justin Flint
Snow Bunting,402036731,Songbirding Podcast Data
Trumpeter Swan,389969201,Peter Blancher
Short-billed Gull,358793941,Joshua Brown
Willow Flycatcher,358607041,Jim Carroll
Black-capped Chickadee,358459041,Monique Berlinguette
Long-billed Curlew,356616201,Joshua Brown
Northern Cardinal,355524681,Martine Giroux
Short-billed Dowitcher,340320411,Evan Larson
Upland Sandpiper,339875031,Mike Russum
Say's Phoebe,332511821,Annie McLeod
Olive-sided Flycatcher,290403091,David M. Bell
Hermit Thrush,244367271,Brian Shulist
Black-headed Grosbeak,236970991,Prayitno Goenarto
Common Yellowthroat,163918931,Zane Shantz
Marbled Godwit,163540751,Asher  Warkentin
Canada Goose,158978601,Dan J. MacNeal
Common Gallinule,152657871,Dan J. MacNeal
Eastern Phoebe,151931511,Dan J. MacNeal
Pine Siskin,146417001,Paul Martin
Wood Thrush,99251151,Kiah R. Jasper
Smith's Longspur,32239611,Andrew Spencer
Brown Thrasher,206430,Bob McGuire
Chestnut-collared Longspur,206404,Bob McGuire
Long-tailed Jaeger,137366,Stewart D. MacDonald
Orange-crowned Warbler,136178,Matthew D. Medler
Common Yellowthroat,136169,Matthew D. Medler
Wilson's Warbler,136166,Matthew D. Medler
Ruby-crowned Kinglet,136164,Matthew D. Medler
Wilson's Warbler,133365,Geoffrey A. Keller
American Robin,133356,Geoffrey A. Keller
Yellow Warbler,133343,Geoffrey A. Keller
Blackpoll Warbler,100913,Wil Hershberger
Mourning Warbler,100902,Wil Hershberger
Golden-winged Warbler,68961,William W. H. Gunn
Eastern Towhee,67728,William W. H. Gunn
Vesper Sparrow,66499,William W. H. Gunn
Wilson's Warbler,62267,William W. H. Gunn
Bobolink,57548,William W. H. Gunn
Blackpoll Warbler,43017,William W. H. Gunn
Northern Parula,40881,William W. H. Gunn
White-throated Sparrow,15605,Robert C. Stein
American Redstart,10695,Robert C. Stein
Swainson's Thrush,4232,Robert C. Stein
Ring-necked Duck,56868641,John G Woods
Whooper Swan,506369911,Cathy Carlson
Eurasian Skylark,422810321,Carl Hughes
Swamp Sparrow,294087061,Melissa Hafting
Nelson's Sparrow,253941811,Evan Larson
American Woodcock,89375961,Kiah R. Jasper
Franklin's Gull,97612501,John Patterson
Blue-winged Teal,159155531,John Patterson
Black-billed Cuckoo,169572451,Sandi Keereweer
Bald Eagle,241234231,Devin Johnstone
Ross's Goose,147555,Tom Johnson
Northern Gannet,1993,Robert W. Robinson
American Black Duck,49718,William Evans
Rose-breasted Grosbeak,101879181,Brent Musser
Surf Scoter,573973011,Daniel Jauvin
Varied Thrush,66086,William W. H. Gunn
Ruffed Grouse,105349331,Blair Dudeck
Winter Wren,356758951,Timothy Burns
Magnolia Warbler,241099371,Kevin Hannah
Ring-billed Gull,231011191,John Patterson
Hudsonian Godwit,185287021,Riley Walsh
Barn Swallow,179966431,Dan J. MacNeal
Ruffed Grouse,154728601,Jocelyn Lauzon
Wood Duck,493063171,Jesse Morris
Mallard,410388441,Jonathan Pap
European Starling,400539451,Carl Hughes
LeConte's Sparrow,302409011,David Turgeon
Golden-winged Warbler,246633561,Logan Baldwin
Cedar Waxwing,246337781,Magdalena Z
Clay-colored Sparrow,244769481,Peter Hawrylyshyn
Red-breasted Sapsucker,242447161,Carl Hughes
Purple Finch,238921071,Anthony Zammit
Wilson's Snipe,167461701,Jim Carroll
Tree Swallow,163495961,Michael Morris
White-breasted Nuthatch,143392551,François Martin
Ovenbird,99252201,Kiah R. Jasper
American Goldfinch,64266551,William D. Kragh
Hairy Woodpecker,51246901,Michael Morris
Philadelphia Vireo,235573,Bob McGuire
Baird's Sparrow,206418,Bob McGuire
Ruddy Duck,4102,Robert C. Stein
Peregrine Falcon,170252431,Nelson  Contardo
Ruffed Grouse,59277,William W. H. Gunn
Brown-headed Cowbird,105260621,Jeff Dyck
Red-necked Grebe,944,Arthur A. Allen
Red-throated Loon,216351121,Sheila Douglas
Sanderling,137323,Stewart D. MacDonald
Gadwall,43090,William W. H. Gunn
Virginia Rail,465627531,Ethan Denton
Cooper's Hawk,435978751,David M. Bell
Golden-crowned Kinglet,120334631,Jocelyn Lauzon
Bohemian Waxwing,295510961,Martine Giroux
Magnolia Warbler,102143241,Emily Williams
Bay-breasted Warbler,136187,Matthew D. Medler
Greater Scaup,444104281,Reid Hildebrandt
Osprey,323346971,Ocean Kveder
Black-bellied Whistling-Duck,170906391,Asher  Warkentin
Black-throated Green Warbler,10044,Robert C. Stein
Eastern Kingbird,359492001,Magdalena Z
Clay-colored Sparrow,103882291,Tom Beeke
Lesser Scaup,460570011,Ken Orich
Cliff Swallow,104566631,Dan J. MacNeal
Ruddy Duck,3797,Helen Hays
Northern Pintail,43085,William W. H. Gunn
Red-throated Loon,216337511,Sheila Douglas
Red-necked Phalarope,467277161,Michel Robert
Bank Swallow,361953741,Jean Iron
Eared Grebe,569436681,Mike Russum
Horned Grebe,188101201,Daniel Donnecke
Chipping Sparrow,59630451,Dennis Leonard
Mallard,439982151,Daniel Koehn
Trumpeter Swan,407312511,Warren Flesaker
Red-tailed Hawk,208246471,John Gordon
Harris's Sparrow,92796451,Scott  Connop
Red-tailed Hawk,30268031,Alix d'Entremont
Pomarine Jaeger,137365,Stewart D. MacDonald
Red-necked Grebe,945,Arthur A. Allen
Gray Flycatcher,465626221,Ethan Denton
Ruddy Duck,43070,William W. H. Gunn
White-rumped Sandpiper,54773,Martha Fischer
White-throated Swift,613504267,Liam Ragan
Black-billed Cuckoo,479617311,Jim Carroll
Nelson's Sparrow,476183781,Daniel Jauvin
Bobolink,448856291,Marie Giroux
House Wren,444947281,Sawyer Dawson
Sandhill Crane,432188041,Yousif Attia
Belted Kingfisher,402172341,Bernard Tremblay
House Sparrow,395640541,Jesse Morris
Lesser Yellowlegs,358374031,Joshua Brown
Alder Flycatcher,356114041,Monique Berlinguette
American Avocet,353287811,Andrew Boycott
Carolina Wren,327613831,Marie Giroux
Black-capped Chickadee,315584611,Serge Wolf
White-breasted Nuthatch,304498191,Magdalena Z
Carolina Wren,279722811,Lyall Bouchard
Northern Shrike,277245161,Dan J. MacNeal
Blue-winged Warbler,237647171,Magdalena Z
American Crow,230870281,Alvan Buckley
American Golden-Plover,179968901,Warren Flesaker
White-crowned Sparrow,168879991,Rob Worona
Upland Sandpiper,165341971,Dan J. MacNeal
Eastern Whip-poor-will,160713181,Gabriel Levac
Vesper Sparrow,152661871,Dan J. MacNeal
Northern Flicker,150938501,John G Woods
Northern Hawk Owl,150433141,John Patterson
Lark Sparrow,105419041,Logan Lalonde
Cassin's Vireo,105418371,Logan Lalonde
Osprey,61504621,Jeff Dyck
Mourning Warbler,59594971,Dan J. MacNeal
Common Raven,49427501,Michael Morris
Brown Thrasher,48698771,Dan J. MacNeal
Grasshopper Sparrow,206429,Bob McGuire
Baird's Sparrow,206423,Bob McGuire
Baird's Sparrow,206422,Bob McGuire
Hermit Thrush,136174,Matthew D. Medler
Common Tern,67302,William W. H. Gunn
Evening Grosbeak,61261,William W. H. Gunn
Downy Woodpecker,317478471,Aaron Roberge
Pacific Loon,395985761,Kalin Ocaña
Bonaparte's Gull,105778,Geoffrey A. Keller
Yellow-throated Warbler,437182711,Magdalena Z
Ring-necked Duck,251252751,Quinten Wiegersma
Merlin,197047,Bob McGuire
Northern Waterthrush,396004841,Kalin Ocaña
Ring-billed Gull,203883581,Joe Angseesing
Lesser Scaup,32240241,Andrew Spencer
Common Goldeneye,305934341,Andrea Kingsley
Northern Harrier,243983181,Kathleen Dvorak
Blue-winged Teal,66887,William W. H. Gunn
Rusty Blackbird,136172,Matthew D. Medler
Swainson's Hawk,59299,William W. H. Gunn
Carolina Wren,407056461,Dan J. MacNeal
Rose-breasted Grosbeak,339827811,Marie Giroux
Glaucous-winged Gull,322246031,Sara Harris
Pine Siskin,219963751,Lisa Cancade Hackett
Herring Gull,168716901,Jocelyn Lauzon
Yellow-throated Vireo,165734331,Daniel Jauvin
Northern Waterthrush,158536711,Vincent Fyson
Northern Saw-whet Owl,54139261,Pat Lucas
Green-winged Teal,253456971,Barry Day
Red-throated Loon,216348661,Sheila Douglas
Eastern Screech-Owl,211714481,Zane Shantz
American Goldfinch,104680001,Mark Dennis
Pacific Loon,467314831,Michel Robert
Rusty Blackbird,371521191,Kalin Ocaña
Pied-billed Grebe,351335331,Liz Barrett
Common Yellowthroat,95761591,Scott  Connop
Prairie Falcon,543437921,Mike Russum
Common Poorwill,329250631,Kalin Ocaña
Northern Saw-whet Owl,414947281,George Forsyth
Stilt Sandpiper,456297491,John Patterson
Northern Gannet,593469031,Michel Robert
Wood Duck,336485711,Sarah Foote
Peregrine Falcon,252523991,Mike Cadman
Sharp-shinned Hawk,59298,William W. H. Gunn
Semipalmated Plover,62330,William W. H. Gunn
Snow Goose,61205,William W. H. Gunn
American Kestrel,63126641,Logan Lalonde
Swainson's Hawk,468537911,Jocce Ekström
Pacific Wren,441037861,Asher  Warkentin
Belted Kingfisher,251284131,Matthew Dudziak
Virginia Rail,224982291,Gord Gadsden
Glaucous-winged Gull,203884831,Joe Angseesing
Canada Jay,104410301,Blair Dudeck
Short-billed Dowitcher,92791831,Scott  Connop
Atlantic Puffin,62362,William W. H. Gunn
Sharp-shinned Hawk,257835811,Jim Carroll
Harlequin Duck,473731031,Liam Ragan
Bonaparte's Gull,56279621,John Patterson
American Black Duck,150360461,Brian Shulist
Stilt Sandpiper,63798,William W. H. Gunn
White-winged Crossbill,425394091,Marie Giroux
Western Sandpiper,362083451,Carl Hughes
Yellow-throated Vireo,165341641,Dan J. MacNeal
Greater White-fronted Goose,140055511,Dan J. MacNeal
Red-tailed Hawk,105165261,John Patterson
Spotted Sandpiper,105113791,Scott  Connop
Short-billed Dowitcher,66312751,Dan J. MacNeal
American Robin,95681381,Daniel Donnecke
Ovenbird,243074341,Asher  Warkentin
Ring-billed Gull,146599231,Zachary Kahn
Black Tern,61576151,John Patterson
American Coot,43001,William W. H. Gunn
Bald Eagle,84273511,Jock McCracken
