name,audio_id,cc
Red-necked Phalarope,452365751,Charlie Wright
Boreal Owl,74059071,Bruce Lagerquist
Northern Pygmy-Owl,615198194,Nathan Wall
White-headed Woodpecker,591970161,Bill Tweit
Gray Catbird,580773151,Stephen Chase
Spotted Sandpiper,568891091,Mark Walton
Brewer's Sparrow,461778201,Dj Jones
Yellow Warbler,453815501,Phil Green
House Finch,397198351,Andrew Thomas 🦅🪶
Osprey,355334151,Phil Green
American Redstart,354587601,Charlie Wright
Warbling Vireo,353602141,Phil Green
Spotted Sandpiper,352002691,Andrew Thomas 🦅🪶
Killdeer,352002151,Andrew Thomas 🦅🪶
Common Nighthawk,348666581,Eric Hope
Pine Siskin,347618741,Dave Slager
Black-billed Magpie,347575701,Andrew Thomas 🦅🪶
Brown-headed Cowbird,345399281,Anonymous
Savannah Sparrow,319450221,Dave Slager
Blue Jay,276289991,Matt Yawney
Short-billed Dowitcher,266703421,Andrew Spencer
Purple Martin,248074531,Kilian White
American Dipper,240804291,Jacob Miller
Sora,236784421,Jacob Elonen
Sage Thrasher,236110351,Jerred Seveyka
Pine Siskin,234451981,Dave Slager
American Robin,158094351,Phil Green
White-crowned Sparrow,136513381,Dave Slager
Common Raven,117967471,Kevin Kincaid
American Three-toed Woodpecker,106564371,Jerred Seveyka
Horned Lark,103412021,Bruce Lagerquist
Wild Turkey,293790141,Scott Ramos
Willow Flycatcher,162873071,Dave Slager
Belted Kingfisher,55081921,Phil Green
Wilson's Warbler,18716,Oliver H. Hewitt
Western Flycatcher,7602,Robert C. Stein
Heermann's Gull,610190927,Roger Hoffman
European Starling,395141751,Jerred Seveyka
Black-billed Magpie,379247571,Mason Maron
Tree Swallow,236879991,Phil Green
Black-throated Gray Warbler,100142771,Nicholas Comparato
Black Scoter,123243111,Stephen Chase
Anna's Hummingbird,92238511,Samuel Holman
Eastern Kingbird,174047581,Dave Slager
Ancient Murrelet,471811931,Miles Brengle
Merlin,96675981,Donna Bragg
Bank Swallow,530037871,Jerred Seveyka
Golden Eagle,136572801,Scott Ramos
Western Screech-Owl,47684,Dave Herr
Pigeon Guillemot,3855,Robert C. Stein
Glaucous-winged Gull,3346,Ernest S. Booth
Blue-winged Teal,235268631,Phil Green
Northern Harrier,218356891,Jerred Seveyka
Common Loon,258808731,Shey Claflin
Red Crossbill,162143921,Dave Slager
Belted Kingfisher,65439241,Dave Slager
American Wigeon,394620281,V. Lohr
Sooty Grouse,223892541,Dave Slager
Bald Eagle,31260981,Phil Green
Osprey,229734691,V. Lohr
American Goldfinch,225368991,Charlie Wright
Tree Swallow,224559941,Jerred Seveyka
Northern Harrier,465417581,Neil Paprocki
Wild Turkey,345039361,Andrew Thomas 🦅🪶
Sharp-tailed Sandpiper,260751531,Andrew Spencer
Cinnamon Teal,235268861,Phil Green
American Wigeon,549982911,Greg Harrington
Pectoral Sandpiper,262858141,Andrew Spencer
Ring-billed Gull,476079771,Mark Selle
American Coot,168703671,Dave Slager
Hermit Warbler,160474581,Bates Estabrooks
Western Grebe,38951291,Phil Green
Cassin's Vireo,97553481,Samuel Holman
Wood Duck,431340081,Andrew Thomas 🦅🪶
Common Loon,328394521,Anthony Gliozzo
Wood Duck,324522761,Phil Green
Long-eared Owl,298909721,Jon Isacoff
Glaucous-winged Gull,31209361,Phil Green
Northern House Wren,63079,Dave Herr
Dark-eyed Junco,47708,Dave Herr
Townsend's Warbler,47702,Dave Herr
Townsend's Warbler,10029,Charles A. Sutherland
Mallard,84429721,Sean Cozart
Mallard,84429301,Sean Cozart
Great Horned Owl,47685,Dave Herr
Ruffed Grouse,49058,Dave Herr
Barred Owl,634073639,Xin Cen
Hermit Thrush,225313591,Dave Slager
Rufous Hummingbird,220216781,Jacob Miller
Chestnut-backed Chickadee,190373101,Janine Schutt
Great Gray Owl,139118221,Dave Slager
Spotted Towhee,136513431,Dave Slager
Violet-green Swallow,79264921,Phil Green
Cassin's Vireo,11899,Arthur A. Allen
Red-tailed Hawk,138606601,Jerred Seveyka
American Wigeon,316790261,V. Lohr
Harlequin Duck,617211726,Liam Hutcheson
Pied-billed Grebe,224575591,Phil Green
Pacific Wren,51120711,Elisabeth Peelor
Bald Eagle,32311011,Phil Green
Ring-billed Gull,628287898,John P
Black-headed Gull,624272604,Andy DeBroux
Black-necked Stilt,623004824,Xin Cen
Black-bellied Plover,616837207,Michael Barry
Swainson's Hawk,603505781,Alan Knue
Pigeon Guillemot,577116241,Kevin White
Cedar Waxwing,363953731,Andrew Emlen
Sharp-tailed Grouse,307823301,Scott Ramos
Canada Goose,303823441,Michael Woodruff
Violet-green Swallow,221393471,Phil Green
Purple Finch,150144191,Kevin Kincaid
Mountain Quail,145697551,Charlie Wright
Marsh Wren,109915361,Dave Slager
Black-headed Grosbeak,103150231,Jon Isacoff
Common Raven,56661501,Thomas Bancroft
Trumpeter Swan,40516711,Joshua Rudolph
Yellow-rumped Warbler,334401541,Jon Isacoff
White-winged Crossbill,251538111,Jon Isacoff
Lark Sparrow,104755301,Samuel Holman
Pileated Woodpecker,88879191,Samuel Holman
Pacific Wren,46354291,Alex Soldo
Cinnamon Teal,234623861,Phil Green
Vesper Sparrow,104701861,Rachel Hudson
Western Grebe,457288461,Mark Selle
Spotted Sandpiper,225315331,Dave Slager
Caspian Tern,626138806,Damon Haan
Snow Goose,625620908,Nancy & Bill LaFramboise
Rock Wren,624546813,Jacob E
Snow Bunting,621420127,Liam Hutcheson
Northern Saw-whet Owl,621420042,Liam Hutcheson
Fox Sparrow,621216611,Troy Hibbitts
Common Poorwill,620891658,Greg Harrington
Barn Swallow,620652636,Stephen Chase
Ovenbird,620424900,RJ Baltierra
Long-billed Dowitcher,619747573,Liam Hutcheson
Western Bluebird,618594709,Jerred Seveyka
California Scrub-Jay,613689353,Bartholomew Birdee
Spruce Grouse,588724041,Liam Hutcheson
Black-headed Grosbeak,587329491,Buster Morales
Swainson's Thrush,587314821,Buster Morales
American Redstart,585541021,Stephen Chase
Swainson's Thrush,581142061,Stephen Chase
Northern Waterthrush,580796651,Samuel Holman
Warbling Vireo,580777031,Stephen Chase
