name,audio_id,cc
Rufous Shrikethrush,203970381,Phil Gregory | Sicklebill Safaris | www.birder.travel
Chowchilla,203970251,Phil Gregory | Sicklebill Safaris | www.birder.travel
Mangrove Robin,203939891,Keith Blomerley
Chestnut Quail-thrush,203930801,Josep del Hoyo
Apostlebird,203930781,Josep del Hoyo
Shy Heathwren,203930741,Josep del Hoyo
Chestnut-rumped Thornbill,203888341,Pieter de Groot Boersma
Red-browed Pardalote,203887931,Pieter de Groot Boersma
Turquoise Parrot,203887771,Pieter de Groot Boersma
Eastern Bristlebird,203887721,Pieter de Groot Boersma
Eastern Bristlebird,203887711,Pieter de Groot Boersma
Tooth-billed Bowerbird,203887341,Pieter de Groot Boersma
Eastern Whipbird,203887331,Pieter de Groot Boersma
Red Goshawk,203886901,Pieter de Groot Boersma
Pale-vented Bush-hen,203886861,Pieter de Groot Boersma
Pale-vented Bush-hen,203886851,Pieter de Groot Boersma
Western Fieldwren,203886761,Pieter de Groot Boersma
Silver Gull,203884121,Joe Angseesing
Silver Gull,203884111,Joe Angseesing
Channel-billed Cuckoo,191800241,McKinley Moens
Yellow-plumed Honeyeater,183968231,Eliot Miller
White-cheeked Honeyeater,182570531,Eliot Miller
Cape Barren Goose,181181901,Ramit Singal
Noisy Scrub-bird,177316851,Marie Chappell
Mangrove Honeyeater,153683561,Sara Young
Rufous Scrub-bird,118232761,Heath Milne
Rufous Bristlebird,117149781,Andrew Spencer
Olive Whistler,114922081,Ged Tranter
Rufous Scrub-bird,114922041,Ged Tranter
Tawny Grassbird,99582741,Andrew Spencer
Green Catbird,99560791,Andrew Spencer
Western Bristlebird,37581951,Tom Johnson
Pilotbird,33165491,Andrew Spencer
Bell Miner,700567,Niels Poul Dreyer
Rufous Shrikethrush,237585,Emma Greig
Spangled Drongo,233622,Tony Baylis
Spangled Drongo,233609,Tony Baylis
Australian King-Parrot,233414,Tony Baylis
Noisy Friarbird,226229,Vicki Powys
Superb Lyrebird,223278,Vicki Powys
Noisy Miner,223254,Vicki Powys
Tooth-billed Bowerbird,207594,Gregory Budney
Palm Cockatoo,201266,Emma Greig
Magnificent Riflebird,164338,Benjamin Clock
