name,audio_id,cc
Eurasian Coot,200481711,Ed Stubbs
Common Wood-Pigeon,169044421,Ana Paula Alminhana Maciel
Marsh Tit,83297711,Craig Robson
Eurasian Blackcap,65221481,Nicholas Allen
Bohemian Waxwing,62664371,Rob Martin
Pink-footed Goose,57969501,Lynden Schofield
European Greenfinch,45873481,Gregory Budney
Northern Pintail,400401951,Simon Colenutt
Common Loon,394576371,Peter Kennerley
Eurasian Goshawk,304429391,Ed Stubbs
Eurasian Collared-Dove,147454021,A Emmerson
Gray Heron,140312561,Lynden Schofield
Eurasian Wigeon,202205881,A Emmerson
Mallard,175282951,Richard Littauer
Eurasian Collared-Dove,103124141,Robert Bochenek
Caspian Gull,373021411,Isaac West
Bank Swallow,343315951,Mark Lewis
Tufted Duck,203980461,Nicholas Talbot
Common Shelduck,320022951,Craig Robson
Common Buzzard,203890041,Joe Angseesing
Great Crested Grebe,214836961,Gabriel Leite
Rock Pigeon,214836991,Gabriel Leite
Gray Wagtail,59531061,Lynden Schofield
Western Capercaillie,42752,Gregory Budney
Cetti's Warbler,203982651,Nicholas Talbot
Eurasian Moorhen,203980411,Nicholas Talbot
Rose-ringed Parakeet,203980391,Nicholas Talbot
House Sparrow,203980371,Nicholas Talbot
Egyptian Goose,203980351,Nicholas Talbot
Yellowhammer,203968061,Simon Colenutt
Eurasian Nightjar,203944261,Keith Blomerley
Common Cuckoo,203925291,Josep del Hoyo
Eurasian Oystercatcher,203907331,Josep del Hoyo
Rook,203886981,Joe Angseesing
Tundra Swan,203883791,Joe Angseesing
Lesser Redpoll,455469451,Mark Lewis
Eurasian Blackcap,152121671,Dominic Garcia-Hall
Common Reed Warbler,99915261,Stuart Fisher
Great Spotted Woodpecker,162843,Gregory Budney
European Robin,162834,Gregory Budney
Eurasian Wren,162817,Gregory Budney
Great Spotted Woodpecker,162812,Gregory Budney
Corn Crake,103413,David W. Stemple
Yellowhammer,15198,A. G. Field
Common Chiffchaff,14536,A. G. Field
Mistle Thrush,14141,A. G. Field
Song Thrush,14090,A. G. Field
Eurasian Blackbird,13791,A. G. Field
Eurasian Blackbird,13789,A. G. Field
Eurasian Blackbird,13782,Marian P. McChesney
European Robin,11293,A. G. Field
European Robin,11291,Marian P. McChesney
Mediterranean Gull,217822601,Simon Colenutt
Mediterranean Gull,217822351,Simon Colenutt
Barnacle Goose,477890921,Isaac West
Eurasian Moorhen,203982861,Nicholas Talbot
Common Reed Warbler,203982541,Nicholas Talbot
Reed Bunting,99915831,Stuart Fisher
Common Gull,57969751,Lynden Schofield
Sedge Warbler,700575,Ed Hutchings
